,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000001506,Col1a1,18.423,30.659,28.099,43.798,54.159,40.178,34.661,29.642,28.583,25.896
ENSMUSG00000001507,Itga3,6.427,5.415,5.482,5.289,6.007,5.586,7.008,5.031,5.853,6.369
ENSMUSG00000001508,Sgca,0.096,0.117,0.15,0.091,0.166,0.23,0.175,0.131,0.022,0.184
ENSMUSG00000001517,Foxm1,7.024,4.846,4.186,3.57,4.336,4.727,3.036,4.558,4.012,5.537
ENSMUSG00000001518,Itfg2,2.53,2.216,2.371,2.022,2.648,2.318,2.829,2.643,2.47,2.282
ENSMUSG00000001520,Nrip2,2.234,1.801,2.175,1.815,2.479,2.66,2.262,3.381,2.938,3.11
ENSMUSG00000001521,Tulp3,5.001,5.067,4.975,5.035,5.24,5.179,4.98,4.255,4.044,4.768
ENSMUSG00000001524,Gtf2h4,4.335,4.012,4.435,4.831,6.18,5.313,5.522,6.033,6.921,7.041
ENSMUSG00000001525,Tubb5,218.276,185.47,162.146,190.668,264.04,216.215,310.284,189.762,253.211,248.795
ENSMUSG00000001542,Ell2,6.354,6.378,5.996,7.221,5.479,4.629,10.521,3.658,5.307,4.538
ENSMUSG00000001552,Jup,9.458,8.772,8.707,6.793,7.841,9.837,7.221,7.951,11.346,9.852
ENSMUSG00000001555,Fkbp10,26.629,20.615,28.602,23.682,37.088,33.457,29.986,38.532,30.799,29.647
ENSMUSG00000001558,Klhl10,0.464,0.619,0.503,0.529,0.665,0.461,0.321,0.337,0.665,0.498
ENSMUSG00000001569,Nom1,4.699,5.255,5.434,6.171,5.609,5.737,6.302,6.13,5.279,5.438
ENSMUSG00000001576,Ergic1,10.069,11.488,11.872,14.162,13.937,13.261,12.43,8.258,12.858,13.694
ENSMUSG00000001583,Tnk1,0.025,0.17,0.078,0.059,0.074,0.347,0.169,0.109,0.152,0.156
ENSMUSG00000001588,Acap1,0.248,0.15,0.16,0.162,0.168,0.188,0.142,0.149,0.167,0.147
ENSMUSG00000001604,Tcea3,3.161,2.432,3.447,3.886,4.25,6.769,3.654,6.634,6.551,6.238
ENSMUSG00000001627,Ifrd1,5.545,5.036,5.455,6.791,8.552,7.606,21.366,4.64,6.846,5.691
ENSMUSG00000001630,Stk38l,4.543,4.501,4.205,3.926,3.464,3.329,3.74,2.995,3.345,3.236
ENSMUSG00000001632,Brpf1,5.457,4.262,5.425,4.42,3.74,4.717,5.295,4.809,4.426,4.6
ENSMUSG00000001642,Akr1b3,19.63,17.571,19.58,20.46,32.628,20.855,39.657,41.868,23.288,21.722
ENSMUSG00000001656,Hoxc11,0.021,0.06,0.022,0,0.183,0.236,0.086,0.113,0.115,0.099
ENSMUSG00000001657,Hoxc8,3.774,5.467,5.48,5.569,8.432,8.675,9.476,15.562,6.765,6.336
ENSMUSG00000001661,Hoxc6,7.161,8.886,8.702,8.399,12.081,13.213,6.248,11.741,9.813,10.383
ENSMUSG00000001663,Gstt1,15.301,12.704,14.624,21.106,20.542,29.057,18.641,31.286,15.591,14.432
ENSMUSG00000001665,Gstt3,0.954,0.756,0.844,1.396,1.218,1.334,0.594,1.421,1.213,1.275
ENSMUSG00000001666,Ddt,5.779,5.819,6.243,6.987,9.077,10.097,5.496,13.37,8.346,7.532
ENSMUSG00000001672,Marveld3,0.013,0.333,0.079,0.072,0.125,0.728,0.119,0.36,0.604,0.498
ENSMUSG00000001674,Ddx18,24.162,21.904,21.098,24.611,30.851,24.392,44.437,51.506,29.269,26.981
ENSMUSG00000001687,Ubl3,8.383,8.192,9.588,8.661,7.884,8.217,7.934,9.265,9.329,7.83
ENSMUSG00000001700,Gramd3,5.882,4.138,5.307,4.298,6.946,4.311,6.657,5.226,4.684,4.332
ENSMUSG00000001707,Eef1e1,23.586,25.8,23.253,38.776,33.874,30.096,52.723,21.793,31.595,26.778
ENSMUSG00000001729,Akt1,40.477,35.414,42.794,42.35,44.395,44.542,45.999,41.584,45.549,42.593
ENSMUSG00000001739,Cldn15,2.948,3.492,3.623,5.383,8.442,7.143,8.614,6.538,6.221,5.914
ENSMUSG00000001741,Il16,0.775,0.649,0.663,0.882,0.84,0.754,0.959,0.683,0.677,0.558
ENSMUSG00000001750,Tcirg1,7.444,8.84,7.917,9.596,8.839,11.126,5.693,11.784,8.92,9.144
ENSMUSG00000001751,Naglu,24.504,18.342,26.692,24.993,18.416,29.303,14.778,37.101,27.078,24.905
ENSMUSG00000001755,Coasy,24.203,16.115,26.551,20.38,16.687,18.917,13.035,31.824,18.815,19.028
ENSMUSG00000001761,Smo,18.591,18.796,20.859,19.211,17.387,20.891,17.346,17.763,19.2,21.276
ENSMUSG00000001763,Tspan33,0.482,0.468,0.418,0.19,0.521,0.491,0.476,0.57,0.524,0.56
ENSMUSG00000001767,Crnkl1,15.792,12.767,13.583,11.641,15.819,11.105,18.091,13.301,13.002,13.445
ENSMUSG00000001768,Rin2,8.924,9.766,8.535,9.705,8.884,10.547,6.344,9.099,8.35,9.809
ENSMUSG00000001773,Folh1,0.013,0.038,0,0.025,0.064,0,0.054,0,0.036,0.037
ENSMUSG00000001774,Chordc1,10.819,12.172,10.807,12.33,9.746,8.71,12.085,9.096,8.863,8.935
ENSMUSG00000001783,Rtcb,46.827,46.881,42.692,50.733,53.677,49.733,58.657,61.11,58.867,56.24
ENSMUSG00000001785,Pwp1,18.342,17.977,16.823,18.482,18.964,17.2,24.073,18.748,19.349,18.014
ENSMUSG00000001786,Fbxo7,3.594,3.095,3.313,3.279,3.207,3.189,3.115,3.72,3.459,3.639
ENSMUSG00000001794,Capns1,71.702,67.473,78.978,87.764,116.184,115.232,102.111,174.668,113.357,99.75
ENSMUSG00000001802,Lrp3,2.674,2.975,3.08,2.517,1.816,2.948,2.177,2.451,2.629,2.868
ENSMUSG00000001827,Folr1,19.539,16.761,18.926,39.013,11.111,35.538,11.608,67.39,24.685,31.701
ENSMUSG00000001829,Clpb,4.431,4.163,4.016,4.342,4.185,4.586,4.031,6.381,4.639,4.881
ENSMUSG00000001833,Sept7,19.506,24.624,17.022,23.562,19.953,19.984,25.459,26.442,20.352,17.397
ENSMUSG00000001844,Zdhhc4,7.493,7.089,7.665,7.86,8.066,9.468,6.706,10.094,8.902,8.285
ENSMUSG00000001847,Rac1,33.904,29.926,32.982,33.489,40.309,33.213,41.927,25.316,31.568,31.141
ENSMUSG00000001855,Nup214,8.122,6.054,7.089,4.886,4.8,6.002,4.237,4.78,4.619,5.924
ENSMUSG00000001864,Aif1l,18.286,31.35,25.51,54.386,26.804,54.555,9.624,21.228,61.803,55.712
ENSMUSG00000001865,Cpa3,0.165,0.187,0.115,0.234,0.108,0.157,0.229,0.27,0.077,0.21
ENSMUSG00000001870,Ltbp1,34.532,51.698,32.821,36.995,14.932,23.919,10.826,8.02,28.917,23.683
ENSMUSG00000001891,Ugp2,23.712,28.668,23.812,26.502,34.185,28.519,41.829,28.869,27.998,26.988
ENSMUSG00000001901,Kcnh6,0.318,0.228,0.11,0.111,0.127,0.494,0.244,0.295,0.405,0.393
ENSMUSG00000001909,Trmt1,7.488,6.934,7.287,7.259,8.088,9.308,8.511,9.689,8.868,10.289
ENSMUSG00000001910,Nacc1,31.041,23.194,30.34,24.306,24.675,25.568,26.265,26.015,24.673,27.692
ENSMUSG00000001911,Nfix,7.758,7.795,9.338,9.52,9.751,12.318,8.204,13.688,7.465,9.412
ENSMUSG00000001918,Slc1a5,2.561,1.709,1.875,2.305,6.843,4.428,4.457,1.637,3.315,1.586
ENSMUSG00000001924,Uba1,77.913,73.72,79.639,89.854,89.008,77.442,80.186,85.066,75.75,82.221
ENSMUSG00000001930,Vwf,0.509,0.966,0.766,1.254,0.536,0.932,0.399,0.828,0.496,0.464
ENSMUSG00000001942,Siae,3.508,3.297,3.33,3.955,2.623,3.088,1.854,3.439,3.073,3.024
ENSMUSG00000001943,Vsig2,1.013,1.761,1.779,1.335,0.705,1.087,0.701,1.679,0.943,1.088
ENSMUSG00000001946,Esam,7.922,13.273,11.115,12.431,12.165,13.097,12.067,11.434,14.816,12.908
ENSMUSG00000001948,Spa17,2.912,2.024,2.008,2.824,3.828,4.354,3.31,7.938,4.725,3.909
ENSMUSG00000001962,Fam50a,12.992,12.682,15.276,13.285,18.847,16.307,20.086,23.361,16.884,16.244
ENSMUSG00000001964,Emd,20.983,19.289,20.208,18.358,28.576,21.484,45.68,25.034,25.816,23.812
ENSMUSG00000001983,Taco1,6.46,7.677,7.764,8.495,6.972,7.803,5.392,6.255,7.025,7.929
ENSMUSG00000001985,Grik3,4.862,6.057,5.058,2.975,2.757,1.571,1.59,1.756,1.243,2.155
ENSMUSG00000001986,Gria3,0.86,0.806,1.036,0.972,0.712,0.711,0.809,0.711,0.402,0.445
ENSMUSG00000001988,Npas1,0.139,0.094,0.144,0.236,0.164,0.079,0.029,0.061,0.155,0.08
ENSMUSG00000001995,Sipa1l2,2.366,2.583,2.459,2.021,2.052,2,2.75,1.15,1.726,1.891
ENSMUSG00000001998,Ap4e1,3.366,2.52,2.774,2.572,1.184,1.409,1.348,1.624,0.982,1.374
ENSMUSG00000001999,Blvra,7.203,6.876,7.305,7.334,9.612,7.586,7.746,10.33,9.199,8.755
ENSMUSG00000002006,Pdzd4,1.209,1.725,1.555,1.251,2.005,1.615,1.944,1.502,1.625,1.517
ENSMUSG00000002007,Srpk3,0.135,0.218,0.312,0.269,0.192,0.2,0.218,0.474,0.293,0.244
ENSMUSG00000002010,Idh3g,41.828,42.882,38.194,41.41,45.223,43.771,41.765,59.586,49.755,44.868
ENSMUSG00000002012,Pnck,1.822,2.632,2.139,2.64,2.186,2.667,2.486,4.112,3.115,3.015
ENSMUSG00000002014,Ssr4,22.062,24.819,21.357,26.78,38.632,30.071,37.851,42.396,34.62,29.702
ENSMUSG00000002015,Bcap31,68.568,88.367,70.648,93.113,111.748,89.603,102.856,98.862,110.436,102.851
ENSMUSG00000002017,Fam98a,30.542,26,27.641,22.778,20.745,23.464,28.961,24.223,25.603,25.229
ENSMUSG00000002020,Ltbp2,1,1.54,1.477,1.464,1.449,2.355,1.293,1.719,2.118,1.798
ENSMUSG00000002028,Kmt2a,9.913,7.566,9.339,7.142,2.976,4.825,3.36,4.427,3.238,3.787
ENSMUSG00000002031,Ift46,8.368,7.959,7.731,7.38,9.804,8.912,5.69,11.588,9.104,8.701
ENSMUSG00000002032,Tmem25,5.927,3.81,6.835,3.253,1.814,3.645,1.174,7.399,2.904,3.501
ENSMUSG00000002033,Cd3g,0.051,0.124,0.12,0.181,0.176,0.097,0.08,0.167,0.19,0.146
ENSMUSG00000002043,Trappc6a,11.508,12.956,13.078,16.152,15.596,18.795,10.286,33.036,18.955,16.739
ENSMUSG00000002052,Supt6,21.784,17.959,21.096,21.143,17.945,18.695,18.032,19.475,16.137,19.127
ENSMUSG00000002055,Spag5,7.201,5.275,4.483,4.36,5.734,5.091,4.302,5.553,5.666,6.679
ENSMUSG00000002058,Unc119,16.816,16.87,19.357,27.717,26.113,37.38,13.938,33.086,33.735,34.323
ENSMUSG00000002059,Rab34,19.098,19.728,19.668,22.663,31.947,25.011,31.03,29.417,27.408,23.776
ENSMUSG00000002064,Sdf2,33.29,38.28,28.953,46.399,54.897,44.604,47.504,50.907,54.716,43.747
ENSMUSG00000002068,Ccne1,1.788,1.233,1.453,1.6,1.803,2.004,2.541,1.573,2.307,2.442
ENSMUSG00000002076,Hsf2bp,0.604,0.518,0.453,0.225,0.842,0.375,1.254,0.704,0.667,0.537
ENSMUSG00000002083,Bbc3,1.494,1.202,1.412,1.281,2.009,1.725,1.082,1.136,1.519,1.802
ENSMUSG00000002100,Mybpc3,3.249,2.414,2.788,5.767,6.14,5.72,3.385,3.117,6.18,6.724
ENSMUSG00000002102,Psmc3,56.292,56.632,51.044,64.832,92.558,64.717,87.773,101.971,81.006,69.598
ENSMUSG00000002103,Acp2,9.79,10.44,10.16,10.742,10.38,9.966,8.251,15.565,10.124,9.85
ENSMUSG00000002104,Rapsn,3.105,2.182,4.174,1.028,2.049,1.193,2.286,9.677,1.51,2.036
ENSMUSG00000002105,Slc39a13,5.136,4.819,5.705,4.98,7.702,5.864,4.603,6.564,6.05,5.053
ENSMUSG00000002107,Celf2,0.976,1.116,0.937,1.19,1.197,1.401,1.322,1.599,1.046,1.075
ENSMUSG00000002108,Nr1h3,1.61,1.579,1.746,3.073,3.491,2.074,1.793,1.919,2.534,2.299
ENSMUSG00000002109,Ddb2,4.074,3.792,4.242,3.992,3.314,4.119,2.25,4.027,3.508,3.513
ENSMUSG00000002111,Spi1,1.115,1.158,1.662,1.317,1.873,1.729,0.788,1.537,1.327,1.273
ENSMUSG00000002129,Sf3a1,14.569,11.419,13.466,11.711,13.87,11.926,14.501,11.08,11.475,12.488
ENSMUSG00000002147,Stat6,14.729,15.273,16.354,16.453,16.153,16.264,13.887,12.783,15.573,14.875
ENSMUSG00000002190,Clgn,0.01,0.03,0.065,0.01,0.082,0.02,0.065,0,0.01,0.01
ENSMUSG00000002204,Napsa,0.157,0.289,0.278,0.267,0.339,0.404,0.359,0.188,0.248,0.18
ENSMUSG00000002205,Vrk3,4.643,4.194,4.416,4.063,6.26,5.255,3.729,4.962,5.521,4.973
ENSMUSG00000002210,Smg9,3.304,2.781,3.3,2.769,4.234,3.205,3.584,4.354,3.17,3.329
ENSMUSG00000002221,Paxip1,5.459,3.571,4.711,3.144,3.26,3.419,3.651,3.036,3.012,3.739
ENSMUSG00000002222,Rmnd5a,22.491,22.686,22.208,21.279,13.507,16.884,13.825,12.954,13.499,15.074
ENSMUSG00000002227,Mov10,10.127,7.264,9.808,7.285,9.996,10.511,6.302,9.411,9.607,11.18
ENSMUSG00000002228,Ppm1j,0.276,0.335,0.336,0.348,0.362,0.351,0.406,0.326,0.664,0.264
ENSMUSG00000002233,Rhoc,32.487,34.365,32.86,33.821,60.049,46.785,60.503,58.387,54.524,42.835
ENSMUSG00000002249,Tead3,2.088,3.133,2.432,2.609,3.144,3.178,3.401,2.671,2.863,2.874
ENSMUSG00000002250,Ppard,3.408,3.15,3.455,3.49,3.641,3.912,3.333,2.93,3.567,3.806
ENSMUSG00000002257,Def6,0.992,1.268,0.965,0.968,1.252,1.341,0.704,1.317,1.293,1.011
ENSMUSG00000002265,Peg3,2.081,3.918,1.579,2.562,1.37,4.357,1.256,2.098,2.325,2.897
ENSMUSG00000002266,Zim1,0.098,0.246,0.086,0.185,0.107,0.227,0.086,0.09,0.125,0.237
ENSMUSG00000002274,Metrn,0.32,0.311,0.212,0.44,0.286,0.5,0.091,1.175,0.352,0.389
ENSMUSG00000002279,Lmf1,1.392,1.309,1.51,1.583,1.645,1.578,1.278,2.315,1.898,1.631
ENSMUSG00000002280,Narfl,4.027,4.544,4.375,4.575,5.791,5.11,4.918,5.057,5.211,5.67
ENSMUSG00000002289,Angptl4,21.841,18.08,16.934,22.364,47.361,18.432,36.098,42.037,30.809,23.495
ENSMUSG00000002297,Dbf4,4.626,3.664,3.646,3.035,3.714,3.8,3.84,3.333,4.007,4.309
ENSMUSG00000002307,Daxx,9.598,7.236,8.331,8.986,11.901,11.433,10.973,9.231,10.37,9.754
ENSMUSG00000002308,Cd320,15.093,15.432,14.474,15.575,24.393,17.79,25.825,31.968,23.69,22.093
ENSMUSG00000002319,Ipo4,12.995,9.523,12.397,11.47,15.296,11.904,15.961,10.164,12.372,13.275
ENSMUSG00000002320,Tm9sf1,12.385,10.508,12.168,11.868,12.108,11.32,9.833,10.913,10.828,11.645
ENSMUSG00000002324,Rec8,0.198,0.221,0.38,0.488,0.09,0.42,0.079,0.381,0.17,0.247
ENSMUSG00000002325,Irf9,6.457,4.628,6.659,6.054,7.862,6.639,5.651,4.827,6.14,5.064
ENSMUSG00000002326,Gmpr2,19.59,19.147,18.652,21.31,23.586,19.071,21.27,22.985,22.945,22.381
ENSMUSG00000002329,Mdp1,19.153,20.018,20.997,27.254,28.814,26.286,24.166,34.389,27.807,26.854
ENSMUSG00000002332,Dhrs1,11.739,10.792,12.002,12.77,18.776,14.038,32.233,15.77,13.644,13.509
ENSMUSG00000002342,Tmem161a,9.014,9.423,9.765,9.875,11.182,11.568,9.136,11.664,11.268,11.161
ENSMUSG00000002343,Armc6,3.712,2.994,3.452,4.315,3.409,2.93,4.599,3.727,2.99,3.386
ENSMUSG00000002345,Borcs8,7.184,7.003,7.306,9.112,8.481,9.102,6.891,10.39,8.841,9.043
ENSMUSG00000002346,Slc25a42,8.37,5.536,8.751,5.273,4.462,5.014,3.673,4.495,4.589,5.533
ENSMUSG00000002365,Snx9,19.568,36.089,23.423,22.86,19.452,20.414,19.996,14.521,19.939,18.525
ENSMUSG00000002372,Ranbp3,23.843,20.804,24.065,22.955,29.641,27.53,31.631,29.355,28.029,28.014
ENSMUSG00000002379,Ndufa11,10.732,12.001,12.694,13.497,22.358,15.623,23.494,38.308,20.461,15.331
ENSMUSG00000002384,Bmp8b,0.022,0.073,0.067,0.051,0.021,0.041,0.045,0.023,0.03,0.041
ENSMUSG00000002393,Nr2f6,4.801,5.434,4.751,5.947,5.571,6.394,7.514,5.907,6.944,6.35
ENSMUSG00000002395,Use1,29.451,36.13,28.87,44.848,42.762,49.183,40.875,79.545,60.861,48.802
ENSMUSG00000002396,Ocel1,1.586,1.756,1.646,2.183,1.651,2.004,1.471,1.366,1.782,1.845
ENSMUSG00000002409,Dyrk1b,9.001,6.346,7.243,5.53,6.303,6.486,4.183,6.909,5.783,7.31
ENSMUSG00000002413,Braf,5.813,4.777,5.284,4.189,2.326,2.588,2.852,2.43,2.148,2.578
ENSMUSG00000002416,Ndufb2,1.869,1.807,1.638,1.996,2.661,2.038,2.973,4.838,2.148,2.041
ENSMUSG00000002428,Hltf,9.454,9.457,8.18,8.342,6.095,6.063,4.503,6.072,5.209,6.192
ENSMUSG00000002455,Prpf6,23.38,21.697,22.125,23.222,24.348,23.681,24.211,32.834,24.18,24.542
ENSMUSG00000002458,Rgs19,9.043,7.978,10.254,8.769,12.953,10.625,13.531,11.474,11.938,10.783
ENSMUSG00000002459,Rgs20,0,0.019,0.01,0,0.029,0.019,0.01,0,0.009,0.009
ENSMUSG00000002475,Abhd3,7.086,9.626,6.049,11.072,5.688,11.548,3.16,9.862,5.487,7.784
ENSMUSG00000002477,Snrpd1,75.47,77.615,73.183,90.249,135.003,111.372,187.714,151.651,129.822,109.675
ENSMUSG00000002486,Tchp,1.738,1.282,1.698,1.599,1.481,1.766,1.348,2.037,1.555,1.871
ENSMUSG00000002489,Tiam1,2.873,2.997,2.842,2.916,3.059,2.925,2.45,1.668,1.878,2.784
ENSMUSG00000002496,Tsc2,12.918,10.62,12.143,10.764,9.681,10.322,8.213,9.699,9.809,10.728
ENSMUSG00000002500,Rpl3l,0.076,0,0.132,0.072,0.175,0.048,0.053,0.083,0.095,0.024
ENSMUSG00000002504,Slc9a3r2,11.58,15.083,15.255,14.184,19.434,21.93,21.629,22.068,22.574,21.114
ENSMUSG00000002524,Puf60,55.769,50.849,52.704,55.179,77.297,59.626,84.169,73.269,72.645,66.219
ENSMUSG00000002546,Golga2,14.673,12.342,15.2,12.329,14.555,14.183,10.011,12.168,12.309,13.74
ENSMUSG00000002550,Uck1,42.919,28.314,45.67,28.218,38.763,29.253,34.75,44.75,37.069,36.66
ENSMUSG00000002565,Scin,0.376,0.243,0.42,0.145,0.274,0.252,3.845,0.349,0.298,0.266
ENSMUSG00000002578,Ikzf4,0.731,0.744,0.921,0.592,0.732,0.697,0.947,0.934,0.525,0.758
ENSMUSG00000002580,Mien1,8.719,10.416,10.301,14.672,17.686,13.113,14.626,24.135,17.793,15.054
ENSMUSG00000002602,Axl,51.29,49.497,47.853,43.984,53.528,50.754,46.774,38.481,39.141,35.092
ENSMUSG00000002603,Tgfb1,6.202,4.067,5.854,3.566,5.81,3.925,7.188,3.91,7.099,4.556
ENSMUSG00000002608,Ccdc97,10.08,8.478,10.606,8.928,10.021,9.149,9.631,8.611,9.264,10.002
ENSMUSG00000002617,Zfp40,3.782,5.678,3.104,3.606,2.801,3.252,3.801,2.793,3.52,3.835
ENSMUSG00000002625,Akap8l,35.372,32.89,38.068,31.331,33.971,40.127,25.887,53.646,36.84,37.187
ENSMUSG00000002635,Pdcd2l,9.946,9.314,8.841,9.214,11.363,10.411,14.106,13.138,12.093,11.611
ENSMUSG00000002658,Gtf2f1,32.462,29.716,31.953,37.106,56.659,42.232,64.514,61.517,42.485,40.11
ENSMUSG00000002660,Clpp,28.364,29.077,27.409,34.003,43.342,38.632,47.701,67.293,42.759,39.118
ENSMUSG00000002661,Alkbh7,13.024,15.163,15.885,17.395,21.532,19.194,17.106,32.033,21.905,22.361
ENSMUSG00000002664,Pspn,1.233,1.795,0.917,1.664,1.645,1.344,1.189,3.65,1.886,1.514
ENSMUSG00000002668,Dennd1c,0.547,0.515,0.621,0.438,0.472,0.616,0.465,0.687,0.571,0.554
ENSMUSG00000002679,Med6,16.215,18.793,13.64,19.154,25.974,20.502,26.756,20.326,24.279,20.807
ENSMUSG00000002688,Prkd1,6.531,4.72,4.706,3.12,2.987,3.51,3.833,4.579,3.405,4.349
ENSMUSG00000002699,Lcp2,1.255,1.1,0.858,1.194,1.187,0.741,0.369,0.613,0.837,0.769
ENSMUSG00000002718,Cse1l,27.728,31.942,25.673,33.548,23.507,24.505,28.686,23.839,26.71,27.898
ENSMUSG00000002728,Naa20,11.55,12.885,11.511,11.705,15.294,13.123,19.39,14.07,17.276,14.304
ENSMUSG00000002731,Prkra,23.222,24.24,21.351,22.162,18.634,20.872,15.927,28.713,22.172,19.998
ENSMUSG00000002732,Fkbp7,15.632,17.084,14.462,14.336,22.104,20.781,18.656,22.473,18.974,17.992
ENSMUSG00000002733,Plekha3,12.02,11.525,13.226,12.196,12.01,10.089,15.103,8.506,10.878,10.256
ENSMUSG00000002741,Ykt6,30.459,26.443,33.1,30.309,28.229,27.049,32.414,35.473,28.913,27.623
ENSMUSG00000002748,Baz1b,12.29,11.072,12.027,10.789,8.871,10.305,9.003,10.147,8.007,9.602
ENSMUSG00000002763,Pex6,12.956,10.847,10.605,12.785,14.106,14.277,10.896,16.467,15.746,15.915
ENSMUSG00000002767,Mrpl2,22.481,20.679,23.186,28.17,34.753,32.537,33.461,47.863,36.471,33.606
ENSMUSG00000002768,Mea1,30.468,35.075,35.555,41.396,59.641,45.319,53.058,58.59,60.793,49.325
ENSMUSG00000002769,Gnmt,0.381,0.403,0.541,0.654,0.714,0.759,0.719,0.717,0.354,0.827
ENSMUSG00000002771,Grin2d,0.188,0.268,0.281,0.272,0.339,0.371,0.267,0.356,0.204,0.293
ENSMUSG00000002778,Kdelr1,49.281,51.599,53.866,57.56,73.522,72.309,56.287,65.037,76.523,70.328
ENSMUSG00000002781,Tmem143,1.627,1.709,1.816,1.704,1.659,2.097,1.038,2.186,1.954,2.238
ENSMUSG00000002791,Pdxk-ps,0.03,0.029,0.016,0.028,0.059,0.014,0.077,0.016,0.042,0.028
ENSMUSG00000002797,Ggct,3.693,3.066,3.065,2.219,3.512,2.668,11.867,7.254,3.543,2.791
ENSMUSG00000002799,Jag2,3.069,4.049,4.139,2.558,3.026,3.713,2.684,2.561,3.221,3.905
ENSMUSG00000002803,Btbd6,8.218,6.289,8.203,6.325,6.819,7.857,6.707,9.725,8.543,8.862
ENSMUSG00000002804,Nudt14,12.53,14.974,17.214,14.617,15.833,18.83,15.855,41.567,21.906,21.523
ENSMUSG00000002808,Epdr1,53.334,95.762,67.159,75.298,43.833,45.094,54.729,20.322,67.025,48.819
ENSMUSG00000002812,Flii,19.893,18.361,20.568,22.525,18.703,22.553,16.055,16.932,19.813,19.872
ENSMUSG00000002814,Top3a,5.047,4.547,4.32,3.969,3.765,4.009,3.431,4.366,4.158,4.838
ENSMUSG00000002820,Atg4d,2.115,2.087,2.334,2.47,2.338,2.719,2.608,2.062,2.573,2.503
ENSMUSG00000002825,Qtrt1,6.708,6.265,6.654,8.333,8.755,8.497,10.855,11.192,8.726,9.217
ENSMUSG00000002831,Plin4,20.026,141.103,34.827,82.024,3.999,31.059,3.925,1.734,81.271,59.772
ENSMUSG00000002833,Hdgfrp2,24.279,25.421,25.879,36.553,34.122,38.051,33.936,27.487,41.349,37.309
ENSMUSG00000002835,Chaf1a,8.317,6.04,7.044,5.459,7.33,8.306,6.094,9.359,6.497,8.945
ENSMUSG00000002844,Adprh,29.961,30.491,31.857,28.791,41.367,32.601,43.437,36.21,40.729,35.822
ENSMUSG00000002845,Tmem39a,14.807,11.899,13.794,12.577,13.78,10.407,12.401,10.854,11.866,10.763
ENSMUSG00000002846,Timmdc1,11.655,12.244,12.915,14.21,16.375,15.468,14.533,15.516,18.19,17.86
ENSMUSG00000002847,Pla1a,3.98,4.275,4.784,6.957,12.484,6.825,5.716,5.426,5.222,5.055
ENSMUSG00000002870,Mcm2,9.297,6.723,8.925,7.85,9.491,8.701,9,8.443,7.783,9.981
ENSMUSG00000002871,Tpra1,8.638,7.151,8.807,6.635,8.125,9.47,6.143,11.079,9.084,10.335
ENSMUSG00000002881,Nab1,15.865,15.015,15.968,16.02,14.511,14.121,20.303,9.661,13.27,12.634
ENSMUSG00000002885,Adgre5,3.778,5.081,4.119,4.397,4.947,4.833,5.251,4.278,5.472,4.787
ENSMUSG00000002897,Il17ra,8.772,4.276,6.645,2.958,3.581,2.68,6.787,3.606,3.185,3.793
ENSMUSG00000002900,Lamb1,21.159,24.278,18.911,20.235,21.022,21.064,22.475,17.11,17.936,19.213
ENSMUSG00000002908,Kcnn1,0.482,0.592,0.417,0.387,0.411,0.495,0.123,0.337,0.39,0.496
ENSMUSG00000002910,Arrdc2,7.622,5.379,6.47,3.318,6.106,4.633,4.453,6.339,4.894,5.947
ENSMUSG00000002944,Cd36,17.223,18.841,15.621,5.842,10.092,8.053,19.262,15.523,12.958,12.185
ENSMUSG00000002948,Map2k7,13.357,11.717,12.671,11.429,11.937,13.499,13.021,15.6,11.834,13.404
ENSMUSG00000002949,Timm44,15.884,14.191,14.107,15.226,19.765,18.954,16.85,20.341,18.424,19.514
ENSMUSG00000002957,Ap2a2,12.725,9.947,12.129,12.309,14.324,12.27,13.711,12.164,11.543,12.379
ENSMUSG00000002963,Pnkp,6.063,6.584,7.076,7.315,9.721,8.001,8.497,10.675,8.191,7.423
ENSMUSG00000002968,Med25,10.923,8.229,10.844,8.925,11.058,10.622,9.178,12.091,10.295,10.637
ENSMUSG00000002980,Bcam,13.834,18.952,15.248,17.032,29.372,34.779,21.21,20.878,30.068,25.629
ENSMUSG00000002981,Clptm1,17.635,15.976,17.739,17.656,21.784,19.217,22.564,22.038,20.308,20.106
ENSMUSG00000002983,Relb,2.439,2.441,2.54,2.263,3.506,2.378,4.363,3.422,2.791,2.494
ENSMUSG00000002984,Tomm40,9.038,7.094,8.583,10.413,13.337,11.488,15.409,11.137,12.59,11.054
ENSMUSG00000002985,Apoe,132.418,159.415,202.584,239.594,228.181,227.167,229.852,313.16,200.459,165.591
ENSMUSG00000002996,Hbp1,24.352,26.207,21.007,21.41,22.082,20.268,16.957,22.45,20.147,21.061
ENSMUSG00000002997,Prkar2b,209.701,174.313,226.223,181.451,144.359,109.897,140.961,200.301,109.417,127.986
ENSMUSG00000003031,Cdkn1b,19.371,43.652,28.527,48.311,19.461,41.657,12.629,13.462,37.668,29.715
ENSMUSG00000003032,Klf4,2.424,3.549,3.094,2.547,3.189,2.22,10.451,3.629,3.085,2.616
ENSMUSG00000003033,Ap1m1,19.393,15.783,18.282,17.211,21.095,10.88,19.594,11.625,18.626,11.46
ENSMUSG00000003037,Rab8a,13.289,13.74,14.311,15.212,17.296,15.977,17.97,20.058,18.543,16.844
