,MGI_Symbol,7558_S28,7707_S27,7713_S29,7715_S30,7801_S23,7802_S26,7803_S24,7804_S20,7805_S21,7807_S25
ENSMUSG00000105340,Gm42878,0.183,0.144,0.182,0.156,0.06,0.108,0.027,0.029,0.041,0.083
ENSMUSG00000105341,Gm43817,0.055,0.036,0.115,0.157,0.018,0.123,0.172,0.201,0.086,0.035
ENSMUSG00000105345,BC030343,0.633,0.615,0.766,0.598,0.69,0.718,0.409,0.84,0.542,0.719
ENSMUSG00000105349,Gm43604,0.651,0.575,0.678,0.671,0.175,0.565,0.615,0.969,0.992,0.453
ENSMUSG00000105350,4930537H20Rik,0.149,0.024,0.129,0.164,0.146,0.118,0.026,0.108,0.023,0.047
ENSMUSG00000105359,Rpl21-ps10,11.916,13.171,12.136,11.17,18.549,17.836,22.851,40.027,24.451,17.363
ENSMUSG00000105366,Gm43719,0.114,0.203,0.297,0.251,0.131,0.453,0.335,0.124,0.124,0.236
ENSMUSG00000105368,Gm43759,1.357,0.964,1.172,1.313,0.488,1.2,0.55,0.614,0.709,0.569
ENSMUSG00000105373,Gm42429,0.299,0.218,0.078,0.353,0.588,0.143,0.078,0.979,0.209,0.143
ENSMUSG00000105376,Gm42487,0.339,0.132,0.141,0.192,0.2,0.583,0.211,0,0.821,0.389
ENSMUSG00000105377,Gm43148,0.241,0.156,0,0.076,0.316,0.23,0,0.263,0.149,0.153
ENSMUSG00000105378,Gm42515,0.035,0.034,0.097,0.044,0.126,0.122,0.254,0.241,0.098,0.111
ENSMUSG00000105382,Gm43339,0.26,0.202,0.325,0.221,0,0.149,0.054,0,0.024,0.099
ENSMUSG00000105383,Gm42641,0.112,0.172,0.282,0.273,0.202,0.258,0.194,0.122,0.243,0.151
ENSMUSG00000105388,Rpl36a-ps2,436.493,504.373,384.894,537.706,703.013,653.369,851.018,1294.785,820.724,705.374
ENSMUSG00000105395,Gm42672,1.779,1.036,1.606,1.344,0,0.226,0.123,0.129,0,0.566
ENSMUSG00000105397,Gm43471,41.393,43.998,39.284,50.653,72.572,60.881,70.277,124.105,82.553,67.459
ENSMUSG00000105402,Gm3716,0.559,2.068,0.166,0.214,0.222,0.127,0.111,0.044,0.806,0.305
ENSMUSG00000105403,Gm43618,1.258,1.092,0.983,0.685,0.309,0.323,0.49,0.079,0.653,0.358
ENSMUSG00000105406,Gm43247,14.756,21.991,16.359,20.737,23.714,22.104,31.547,49.125,30.622,28.105
ENSMUSG00000105408,Gm7285,57.227,70.432,45.722,71.917,101.939,89.114,125.504,136.192,108.347,84.843
ENSMUSG00000105416,Gm42553,1.23,1.791,1.601,0.895,1.41,1.956,3.38,3.522,2.934,3.231
ENSMUSG00000105419,Gm43205,0.509,0.535,0.464,0.521,0.5,0.526,0.308,0.393,0.553,0.405
ENSMUSG00000105422,Gm6089,8.056,7.993,10.196,12.862,6.255,6.877,5.5,14.755,3.522,5.059
ENSMUSG00000105429,Gm43692,1.533,1.259,1.637,1.262,1.12,1.312,1.143,1.801,0.951,0.901
ENSMUSG00000105431,Gm42640,0.14,0.102,0.073,0.165,0.069,0.067,0.435,0.343,0.033,0.2
ENSMUSG00000105434,Gm43359,0.342,0.497,0.573,0.538,0.746,0.688,1.242,2.545,1.042,0.58
ENSMUSG00000105441,Gm8041,1.017,1.974,0.988,2.176,2.864,2.392,2.604,8.943,1.893,2.201
ENSMUSG00000105447,Gm43653,0.156,0.202,0.054,0.074,0.153,0.099,0.027,0.142,0.29,0.322
ENSMUSG00000105449,Gm43379,0.648,0.556,0.81,0.668,0.398,0.469,0.455,0.66,0.352,0.299
ENSMUSG00000105452,Gm5276,0.917,1.316,1.287,2.222,2.077,1.788,2.443,2.609,1.373,1.714
ENSMUSG00000105457,Gm43200,0.135,0.15,0.302,0.182,0.019,0.074,0,0,0.036,0.092
ENSMUSG00000105461,Gm4742,3.249,4.52,2.707,5.011,11.442,9.142,13.889,6.259,7.763,9.051
ENSMUSG00000105466,Gm42998,0.035,0.068,0.11,0.067,0.104,0.034,0.018,0.038,0.016,0.017
ENSMUSG00000105471,A430073D23Rik,1.005,0.427,0.654,0.771,0.185,0.778,0.326,0.616,1.169,1.139
ENSMUSG00000105472,Gm43024,0.077,0.14,0.1,0.208,0.038,0.091,0.04,0.063,0.063,0.009
ENSMUSG00000105482,Gm42596,0.021,0.021,0.067,0.04,0.021,0,0.022,0.07,0,0
ENSMUSG00000105484,Gm42775,0.508,0.383,0.94,1.012,0.222,0.484,0,0.123,0.368,0.269
